106,9,4,0,80,15,4,9,39,2,4,5,47,0,4,0,3,14,4,5
85,13,4,0,97,4,5,9,139,4,4,5,126,7,4,0,140,8,4,5
58,0,4,0,35,3,4,9,60,4,4,5,133,1,4,0,86,14,4,5
0,13,4,0,57,16,4,9,18,3,4,0,114,0,4,0,27,14,4,5
0,8,4,0,79,1,4,9,133,2,4,8,14,0,4,7,105,7,4,5
0,13,4,0,132,0,4,9,8,9,4,5,55,7,4,0,86,14,4,5
122,0,4,0,56,4,4,9,63,8,4,0,47,3,4,0,27,14,4,5
43,2,4,0,109,4,4,9,65,7,4,0,64,0,4,0,140,4,4,5
58,2,4,0,25,4,4,9,67,4,4,5,47,3,4,0,74,7,4,5
19,2,4,0,92,3,4,9,139,7,4,5,39,2,4,0,3,14,4,0
22,13,4,0,57,0,4,9,63,7,4,0,74,7,4,5,105,7,4,1
83,13,4,0,58,0,4,9,133,2,4,8,106,9,4,0,140,4,4,5
22,13,4,0,109,4,4,9,60,4,4,5,64,0,4,0,41,7,4,5
58,0,4,0,15,0,4,9,39,2,4,0,26,11,4,0,88,15,4,5
50,7,4,0,132,9,4,9,20,9,4,0,22,13,4,0,27,14,4,5
19,2,4,0,35,3,4,9,5,8,4,0,64,0,4,7,88,15,4,5
93,2,4,0,132,9,4,9,5,8,4,0,64,0,4,0,75,7,4,5
44,7,4,0,95,9,4,9,106,9,4,0,26,11,4,0,88,15,4,5
58,0,4,0,115,0,4,9,5,8,4,0,106,9,4,0,19,16,4,5
22,13,4,0,15,3,4,9,95,9,4,0,106,9,4,0,109,4,4,5
85,7,4,0,35,3,4,9,133,2,4,5,106,9,4,0,34,14,4,5
93,2,4,0,78,4,4,9,117,8,4,5,26,11,4,7,140,8,4,5
22,13,4,0,78,4,4,9,39,2,4,5,64,0,4,0,3,14,4,5
127,4,4,0,35,4,4,9,133,2,4,8,26,11,4,0,140,4,4,5
55,7,4,0,15,0,4,9,68,5,4,0,26,11,4,0,138,15,4,1
67,8,4,0,35,3,4,9,5,8,4,0,95,9,4,0,140,8,4,5
17,13,4,0,35,3,4,9,50,7,4,1,39,2,4,0,98,14,4,5
28,13,4,0,109,4,4,9,106,9,4,0,64,0,4,7,74,7,4,5
15,0,4,0,78,4,4,9,66,8,4,0,106,9,4,0,3,14,4,5
22,13,4,0,35,3,4,9,39,2,4,5,26,11,4,0,27,14,4,5
