TOPchampId,TOPkeyRune,TOPspell1,TOPspell2,JNGchampId,JNGkeyRune,JNGspell1,JNGspell2,MIDchampId,MIDkeyRune,MIDspell1,MIDspell2,ADCchampId,ADCkeyRune,ADCspell1,ADCspell2,SUPchampId,SUPkeyRune,SUPspell1,SUPspell2
32,13,4,5,15,0,4,9,37,4,4,5,71,2,4,7,27,7,4,5
32,13,4,5,115,0,4,9,117,8,4,0,71,2,4,7,12,8,4,5
69,13,4,0,72,6,4,9,117,8,4,8,127,4,4,0,77,14,4,1
43,2,4,0,57,0,4,9,52,4,4,5,7,1,4,0,12,8,4,5
33,2,4,0,96,14,4,9,52,4,4,5,64,0,4,7,27,14,4,5
32,13,4,5,115,0,4,9,29,4,4,5,47,0,4,7,86,14,4,5
19,2,4,0,57,0,4,9,66,8,4,2,21,2,4,7,41,7,4,5
72,4,4,5,56,4,4,9,1,4,4,5,47,3,4,7,11,14,4,5
19,2,4,0,35,3,4,9,79,4,4,5,64,0,4,7,13,15,4,5
0,13,4,0,79,4,4,9,139,7,4,8,19,2,4,0,88,7,4,5
38,13,4,0,97,16,5,9,137,8,4,7,64,0,4,0,75,7,4,7
129,2,4,0,61,4,4,9,68,7,4,0,133,2,4,0,13,15,4,5
98,14,4,0,92,4,4,9,6,4,4,5,130,1,4,7,105,7,4,1
0,2,4,0,57,16,4,9,123,8,4,0,64,0,4,7,124,8,4,5
17,13,4,0,129,0,4,9,110,4,4,5,12,8,4,0,75,7,4,5
72,4,4,0,54,4,4,9,51,4,4,0,122,3,4,7,65,7,4,5
39,2,4,5,79,1,4,9,110,4,4,5,45,3,4,7,113,14,4,5
0,8,4,0,36,5,6,9,52,4,4,5,45,3,4,7,113,14,4,5
116,2,4,0,118,0,4,9,53,7,4,1,72,4,4,5,27,7,4,5
116,2,4,5,25,4,4,9,23,4,4,5,26,11,4,7,75,7,4,5
0,13,4,0,36,5,6,9,95,9,4,0,45,3,4,7,41,7,4,5
43,2,4,0,109,4,4,9,20,4,4,0,133,2,4,1,12,8,4,5
93,2,4,5,70,1,4,9,16,9,4,2,133,3,4,7,75,7,4,5
31,13,4,0,35,3,4,9,124,8,4,0,66,8,4,0,113,14,4,5
43,2,4,0,79,1,4,9,73,7,4,5,71,2,4,7,66,8,4,2
39,2,4,0,84,4,4,9,140,8,4,2,121,3,4,7,27,7,4,5
0,2,4,0,43,0,4,9,110,4,4,5,139,7,4,7,11,14,4,5
83,13,4,0,79,4,4,9,60,4,4,5,47,1,4,7,27,14,4,5
67,13,4,0,79,4,4,9,137,8,4,0,7,0,4,7,124,4,4,5
17,13,4,0,89,14,4,9,123,8,4,2,130,3,4,7,88,14,4,1
15,7,4,0,70,1,4,9,60,4,4,5,86,4,4,5,3,15,4,7
32,13,4,0,54,8,4,9,93,2,4,0,122,1,4,7,75,7,4,5
0,2,4,0,42,6,5,9,127,4,4,5,39,2,4,5,41,7,4,1
95,9,4,0,25,4,4,9,136,4,4,5,71,7,4,1,86,4,4,5
69,14,4,0,99,9,4,9,73,7,4,5,64,0,4,7,86,4,4,5
32,13,4,0,90,16,4,9,60,4,4,0,102,3,4,7,75,7,4,5
116,2,4,5,109,4,4,9,136,4,4,5,122,3,4,7,66,7,4,1
38,15,4,0,56,6,4,9,110,4,4,5,122,3,4,7,86,4,4,5
44,7,4,0,135,14,4,9,136,4,4,5,14,3,4,7,69,14,4,5
83,14,4,0,25,4,4,9,23,4,4,0,7,0,4,7,66,8,4,1
94,7,4,0,70,2,4,9,136,4,4,5,106,9,4,0,65,7,4,5
43,2,4,0,109,4,4,9,82,7,4,2,45,3,4,7,113,14,4,5
19,2,4,0,0,4,4,9,60,4,4,5,45,3,4,7,27,14,4,5
49,7,4,0,25,4,4,9,110,4,4,5,45,3,4,0,124,8,4,5
2,4,4,0,129,0,4,9,133,2,4,5,39,2,4,1,88,7,4,5
84,4,4,5,35,3,4,9,117,8,4,5,26,11,4,0,113,13,4,5
112,1,4,0,79,1,4,9,81,8,4,0,45,8,4,7,65,7,4,5
32,13,4,5,57,0,4,9,1,4,4,5,26,11,4,0,74,7,4,1
116,2,4,5,61,4,4,9,93,4,4,5,45,16,4,7,27,14,4,5
17,13,4,0,0,2,4,9,63,8,4,5,39,2,4,0,88,7,4,5
19,2,4,0,115,0,4,9,30,14,4,0,26,11,4,0,75,7,4,5
17,13,4,5,57,0,4,9,66,8,4,2,47,3,4,0,65,7,4,5
129,2,4,0,0,2,4,9,51,7,4,0,64,0,4,7,74,8,4,1
101,8,4,0,70,2,4,9,29,4,4,0,102,0,4,0,75,7,4,5
19,2,4,0,35,3,4,9,66,8,4,2,64,0,4,0,11,14,4,5
15,2,4,0,35,3,4,9,50,5,4,0,19,2,4,6,105,7,4,7
0,2,4,0,15,0,4,9,66,8,4,2,121,3,4,7,113,14,4,5
98,13,4,0,96,14,4,9,139,4,4,5,47,0,4,7,41,4,4,5
17,13,4,0,61,4,4,9,123,4,4,0,47,3,4,7,105,7,4,1
58,2,4,0,54,4,4,9,123,4,4,0,26,11,4,7,3,14,4,5
94,8,4,0,78,4,4,9,136,4,4,5,16,9,4,0,88,7,4,5
39,2,4,0,132,9,4,9,138,7,4,0,64,0,4,7,77,7,4,5
22,13,4,0,70,2,4,9,131,8,4,7,71,8,4,7,27,14,4,5
32,13,4,0,15,0,4,9,117,13,4,5,21,2,4,7,12,8,4,5
43,2,4,0,36,5,6,9,23,4,4,0,47,3,4,7,27,14,4,1
67,14,4,5,56,4,4,9,60,4,4,5,130,0,4,7,30,14,4,5
84,7,4,5,79,1,4,9,110,4,4,5,106,9,4,0,74,7,4,5
